Job Title,Department/Ministry,Qualification Required,Age Limit,Experience Required,Job Location,Salary Range,Application Deadline,Selection Process,Career Path
Clerk,Ministry of Railways,12th Pass,25-39,2 years,Pune,47498-73510 INR,02-11-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
Stenographer,Ministry of Railways,B.Tech,23-38,3 years,Ahmedabad,48805-78152 INR,17-09-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Agricultural Officer,Ministry of Railways,M.Sc,27-39,2 years,Chennai,38069-79849 INR,15-09-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
Audit Officer,Ministry of Defense,M.Tech,21-40,1 years,Guwahati,35106-74598 INR,17-09-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
Stenographer,Ministry of Home Affairs,B.Sc,23-38,4 years,Lucknow,45150-73667 INR,30-09-2024,"Physical Test, Medical Test",Junior Engineer > Senior Engineer > Chief Engineer
Driver,Ministry of Railways,Bachelor's Degree,25-38,2 years,Patna,41371-74411 INR,23-09-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
Assistant Engineer,Ministry of Science and Technology,Master's Degree,27-40,1 years,Jaipur,31527-71115 INR,30-09-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
Junior Translator,Ministry of Finance,10th Pass,30-39,2 years,Bangalore,32559-62452 INR,27-11-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Village Development Officer,Ministry of Environment,12th Pass,22-40,5 years,Jaipur,42011-63706 INR,27-10-2024,"Written Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Junior Translator,Ministry of Agriculture,B.Tech,27-37,5 years,Guwahati,33431-61146 INR,12-10-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Public Prosecutor,Ministry of Health,M.Sc,22-36,0 years,Bangalore,47589-61491 INR,18-10-2024,"Physical Test, Written Exam",Assistant Professor > Associate Professor > Professor > Head of Department
Medical Officer,Ministry of Health,M.Tech,22-35,4 years,New Delhi,43293-85398 INR,13-09-2024,"Physical Test, Written Exam",Trainee > Assistant Officer > Officer > Senior Officer
Medical Officer,Ministry of Rural Development,B.Com,30-35,2 years,Bangalore,42396-81536 INR,04-11-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
Mechanic,Ministry of Railways,M.Sc,29-37,1 years,Chennai,40709-74530 INR,30-10-2024,"Written Exam, Document Verification",Entry Level > Mid Level > Regional Head > Zonal Head
Teacher,Ministry of Agriculture,Master's Degree,30-40,3 years,Patna,44275-71589 INR,28-09-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
Lab Assistant,Ministry of Defense,Diploma,22-39,3 years,Pune,47296-68185 INR,08-11-2024,"Skill Test, Interview",Entry Level > Team Lead > Deputy Director > Director
Village Development Officer,Ministry of Agriculture,Master's Degree,28-40,3 years,New Delhi,32771-86608 INR,23-09-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
Gram Sevak,Ministry of Health,Bachelor's Degree,26-36,3 years,Hyderabad,48076-71231 INR,03-10-2024,"Physical Test, Written Exam",Junior Engineer > Senior Engineer > Chief Engineer
IPS Officer,Ministry of Agriculture,PhD,26-38,1 years,Ahmedabad,49642-82372 INR,02-11-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Driver,Ministry of Health,Bachelor's Degree,27-37,5 years,Ranchi,47166-87592 INR,15-11-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Lecturer,Ministry of Railways,PhD,30-35,1 years,Ranchi,45977-79089 INR,08-09-2024,"Physical Test, Written Exam",Trainee > Assistant Officer > Officer > Senior Officer
Accountant,Ministry of Defense,B.Com,24-39,0 years,Pune,38293-81683 INR,11-11-2024,"Written Exam, Document Verification",Trainee > Assistant Officer > Officer > Senior Officer
Forest Officer,Ministry of Defense,M.Sc,24-40,3 years,Chandigarh,41267-77204 INR,18-11-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Driver,Ministry of Science and Technology,10th Pass,28-36,3 years,Mumbai,35219-68153 INR,26-09-2024,"Written Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Police Sub Inspector,Ministry of Environment,B.Tech,25-40,0 years,Guwahati,30080-79977 INR,03-11-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Junior Engineer,Ministry of Railways,B.Tech,22-37,2 years,Chennai,37628-83308 INR,05-11-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
Village Development Officer,Ministry of Agriculture,MBBS,26-36,3 years,Bhopal,36352-67272 INR,18-11-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Lecturer,Ministry of Health,10th Pass,28-40,2 years,Kolkata,49940-61810 INR,04-11-2024,"Written Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Bank PO,Ministry of Home Affairs,MBBS,21-38,5 years,Ahmedabad,32470-69774 INR,11-09-2024,"Written Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Police Sub Inspector,Ministry of Finance,B.Com,25-40,0 years,Mumbai,42582-81273 INR,01-11-2024,"Written Exam, Document Verification",Trainee > Assistant Officer > Officer > Senior Officer
SSC CGL Officer,Ministry of Railways,MBBS,26-38,1 years,Chennai,46782-71728 INR,01-10-2024,"Written Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Data Entry Operator,Ministry of Agriculture,MBBS,21-40,0 years,Bangalore,41997-84211 INR,03-11-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Mechanic,Ministry of Finance,B.Tech,25-36,2 years,Patna,30105-62545 INR,19-11-2024,"Physical Test, Written Exam",Junior Engineer > Senior Engineer > Chief Engineer
Audit Officer,Ministry of Finance,Master's Degree,24-35,4 years,Lucknow,30570-71001 INR,17-10-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
Stenographer,Ministry of Finance,Master's Degree,23-38,4 years,Bangalore,46705-60096 INR,05-11-2024,"Written Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Lab Assistant,Ministry of Health,Bachelor's Degree,23-35,2 years,Guwahati,31813-85376 INR,20-09-2024,"Physical Test, Medical Test",Internship > Junior Position > Senior Position > Management
Public Prosecutor,Ministry of Environment,10th Pass,30-38,0 years,Guwahati,37099-60527 INR,21-10-2024,"Skill Test, Interview",Internship > Junior Position > Senior Position > Management
Senior Resident,Ministry of Health,Master's Degree,23-40,4 years,Jaipur,35791-76071 INR,14-09-2024,"Preliminary Exam, Main Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Pharmacist,Ministry of Agriculture,10th Pass,29-40,1 years,Bangalore,42611-84583 INR,26-11-2024,"Skill Test, Interview",Entry Level > Mid Level > Senior Level > Department Head
IPS Officer,Ministry of Finance,B.Tech,30-39,1 years,Ranchi,33021-86154 INR,24-10-2024,"Skill Test, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Junior Translator,Ministry of Defense,MBBS,28-37,2 years,Mumbai,45519-60077 INR,06-11-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
IRS Officer,Ministry of Environment,M.Tech,21-37,2 years,Lucknow,46004-66176 INR,10-10-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
Lecturer,Ministry of Health,Master's Degree,29-35,1 years,Pune,32077-73463 INR,24-10-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
Medical Officer,Ministry of Education,B.Com,26-38,1 years,Ahmedabad,42693-88401 INR,25-09-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
Mechanic,Ministry of Rural Development,Diploma,25-38,4 years,Pune,38757-75806 INR,27-11-2024,"Skill Test, Interview",Internship > Junior Position > Senior Position > Management
Lecturer,Ministry of Rural Development,M.Sc,25-39,5 years,Pune,38477-79684 INR,16-10-2024,"Written Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Agricultural Officer,Ministry of Rural Development,10th Pass,29-40,3 years,Bhopal,33629-77071 INR,13-11-2024,"Physical Test, Medical Test",Junior Engineer > Senior Engineer > Chief Engineer
Gram Sevak,Ministry of Education,Bachelor's Degree,25-38,1 years,Hyderabad,48312-86134 INR,21-09-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Medical Officer,Ministry of Home Affairs,MBBS,28-36,1 years,Chennai,31593-60889 INR,19-09-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Forest Officer,Ministry of Science and Technology,MBBS,25-38,3 years,Chennai,37862-84778 INR,15-09-2024,"Written Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
UPSC NDA,Ministry of Rural Development,12th Pass,30-39,5 years,Guwahati,43782-73462 INR,14-09-2024,"Written Exam, Document Verification",Entry Level > Mid Level > Regional Head > Zonal Head
Assistant Professor,Ministry of Home Affairs,Bachelor's Degree,23-36,4 years,Ranchi,31103-70314 INR,13-09-2024,"Physical Test, Medical Test",Entry Level > Team Lead > Deputy Director > Director
Public Prosecutor,Ministry of Home Affairs,B.Sc,30-37,2 years,Bangalore,30584-76955 INR,17-10-2024,"Physical Test, Written Exam",Internship > Junior Position > Senior Position > Management
Police Sub Inspector,Ministry of Home Affairs,M.Tech,21-35,0 years,Jaipur,48314-85999 INR,27-11-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
IPS Officer,Ministry of Health,Diploma,30-38,0 years,Ahmedabad,47345-86242 INR,17-11-2024,"Written Exam, Document Verification",Trainee > Assistant Officer > Officer > Senior Officer
Village Development Officer,Ministry of Environment,MBBS,29-36,5 years,Lucknow,33799-66537 INR,01-11-2024,"Physical Test, Medical Test",Trainee > Assistant Officer > Officer > Senior Officer
SSC CGL Officer,Ministry of Defense,B.Tech,23-35,3 years,Ranchi,45033-74157 INR,18-11-2024,"Physical Test, Medical Test",Junior Engineer > Senior Engineer > Chief Engineer
Assistant Professor,Ministry of Finance,Diploma,24-39,0 years,Chennai,35424-62821 INR,30-10-2024,"Physical Test, Written Exam",Assistant Professor > Associate Professor > Professor > Head of Department
Railway Engineer,Ministry of Health,B.Com,30-38,4 years,Kolkata,49241-87001 INR,04-10-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Senior Level > Department Head
Assistant Commandant,Ministry of Railways,B.Sc,24-40,2 years,Lucknow,39415-71915 INR,29-09-2024,"Physical Test, Written Exam",Internship > Junior Position > Senior Position > Management
Librarian,Ministry of Rural Development,PhD,28-39,1 years,Jaipur,45776-69054 INR,08-10-2024,"Skill Test, Interview",Entry Level > Team Lead > Deputy Director > Director
Junior Engineer,Ministry of Agriculture,10th Pass,30-39,2 years,Guwahati,42529-61505 INR,06-10-2024,"Physical Test, Written Exam",Internship > Junior Position > Senior Position > Management
Junior Translator,Ministry of Health,MBBS,26-40,3 years,Kolkata,42455-68448 INR,22-10-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
IRS Officer,Ministry of Rural Development,B.Com,23-35,0 years,Mumbai,33060-65381 INR,22-10-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
Postman,Ministry of Railways,MBBS,29-35,0 years,Mumbai,42935-79115 INR,10-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Forest Officer,Ministry of Defense,12th Pass,23-37,0 years,Chandigarh,47284-87860 INR,19-10-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
Teacher,Ministry of Education,Bachelor's Degree,26-39,2 years,New Delhi,45774-73759 INR,11-10-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
SSC CGL Officer,Ministry of Rural Development,M.Tech,26-38,4 years,Ranchi,34566-76805 INR,29-10-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Lecturer,Ministry of Agriculture,M.Sc,27-39,5 years,Patna,45732-61684 INR,02-10-2024,"Physical Test, Written Exam",Probation > Confirmation > Promotion > Senior Position
Police Sub Inspector,Ministry of Agriculture,M.Tech,21-35,3 years,New Delhi,37268-62763 INR,05-10-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
Postman,Ministry of Agriculture,10th Pass,25-35,0 years,Bangalore,39169-81032 INR,20-11-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Lab Assistant,Ministry of Finance,M.Tech,21-40,0 years,New Delhi,44387-87035 INR,02-11-2024,"Physical Test, Written Exam",Probation > Confirmation > Promotion > Senior Position
Junior Assistant,Ministry of Home Affairs,PhD,23-35,0 years,Bangalore,47210-86297 INR,18-09-2024,"Written Exam, Document Verification",Internship > Junior Position > Senior Position > Management
Lecturer,Ministry of Environment,MBBS,24-38,3 years,Ranchi,37778-65991 INR,20-11-2024,"Written Exam, Document Verification",Trainee > Assistant Officer > Officer > Senior Officer
Gram Sevak,Ministry of Railways,B.Tech,26-39,2 years,Ahmedabad,40452-76340 INR,28-10-2024,"Physical Test, Medical Test",Entry Level > Team Lead > Deputy Director > Director
Librarian,Ministry of Education,B.Sc,23-40,5 years,Chandigarh,46288-69018 INR,20-09-2024,"Written Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
UPSC NDA,Ministry of Education,Diploma,21-36,1 years,Bhopal,41493-65981 INR,08-10-2024,"Physical Test, Medical Test",Trainee > Assistant Officer > Officer > Senior Officer
SSC CGL Officer,Ministry of Education,Bachelor's Degree,30-36,0 years,Chennai,43084-74141 INR,25-10-2024,"Physical Test, Written Exam",Entry Level > Team Lead > Deputy Director > Director
Junior Engineer,Ministry of Science and Technology,MBBS,23-39,1 years,Lucknow,33686-77690 INR,03-11-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
Gram Sevak,Ministry of Science and Technology,B.Tech,21-36,5 years,Mumbai,31184-72676 INR,15-10-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
Defense Officer,Ministry of Education,M.Tech,30-39,2 years,Ahmedabad,33513-82359 INR,31-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Mechanic,Ministry of Health,10th Pass,24-36,4 years,Kolkata,44741-71418 INR,09-09-2024,"Physical Test, Medical Test",Entry Level > Team Lead > Deputy Director > Director
Accountant,Ministry of Health,B.Sc,23-39,1 years,Chennai,49964-72343 INR,15-11-2024,"Skill Test, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Assistant Professor,Ministry of Health,12th Pass,23-39,3 years,Kolkata,36765-70261 INR,02-10-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Forest Officer,Ministry of Education,PhD,28-35,2 years,Kolkata,30322-88104 INR,09-11-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Clerk,Ministry of Defense,B.Com,26-35,3 years,Jaipur,38864-85804 INR,21-10-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
Teacher,Ministry of Health,Master's Degree,24-40,1 years,Patna,40806-61576 INR,07-10-2024,"Preliminary Exam, Main Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Scientist B,Ministry of Education,10th Pass,23-40,0 years,Chennai,44055-77138 INR,17-09-2024,"Written Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Fireman,Ministry of Home Affairs,MBBS,27-36,2 years,Pune,40005-67241 INR,04-10-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
Village Development Officer,Ministry of Finance,12th Pass,24-38,3 years,Lucknow,49205-68407 INR,19-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Junior Assistant,Ministry of Railways,12th Pass,29-37,1 years,Pune,38773-68425 INR,23-09-2024,"Physical Test, Written Exam",Internship > Junior Position > Senior Position > Management
Village Development Officer,Ministry of Environment,Bachelor's Degree,22-37,0 years,Hyderabad,49573-86415 INR,28-10-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
Police Sub Inspector,Ministry of Science and Technology,B.Tech,30-38,0 years,Chennai,45213-64198 INR,25-09-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
Fireman,Ministry of Finance,10th Pass,29-38,0 years,Ranchi,35336-72444 INR,14-10-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Gram Sevak,Ministry of Agriculture,Bachelor's Degree,28-36,4 years,Mumbai,42121-84544 INR,06-11-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
Forest Officer,Ministry of Defense,10th Pass,23-35,4 years,Chennai,45597-80263 INR,23-09-2024,"Written Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Accountant,Ministry of Education,10th Pass,21-36,4 years,Lucknow,39700-70321 INR,27-11-2024,"Skill Test, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Pharmacist,Ministry of Education,PhD,26-36,3 years,Guwahati,47754-69379 INR,16-11-2024,"Preliminary Exam, Main Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Assistant Commandant,Ministry of Finance,M.Sc,21-35,1 years,Chennai,43212-79133 INR,11-09-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Agricultural Officer,Ministry of Education,B.Sc,29-36,5 years,Bhopal,33468-68057 INR,30-09-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Fireman,Ministry of Railways,12th Pass,25-36,3 years,Bhopal,35602-83313 INR,13-09-2024,"Physical Test, Written Exam",Probation > Confirmation > Promotion > Senior Position
Junior Engineer,Ministry of Education,B.Tech,21-35,5 years,Ranchi,47040-84504 INR,30-09-2024,"Skill Test, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Veterinary Doctor,Ministry of Railways,M.Sc,24-36,4 years,Lucknow,48616-78444 INR,15-10-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Medical Officer,Ministry of Railways,Bachelor's Degree,24-40,1 years,Bangalore,46348-63778 INR,24-11-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
IPS Officer,Ministry of Finance,Diploma,28-37,4 years,Jaipur,36180-87884 INR,06-10-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
Stenographer,Ministry of Environment,M.Sc,21-40,2 years,Chandigarh,49491-78287 INR,02-10-2024,"Skill Test, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Mechanic,Ministry of Home Affairs,B.Tech,22-36,4 years,Jaipur,41701-69501 INR,24-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Librarian,Ministry of Education,B.Com,29-39,0 years,Pune,38363-68943 INR,02-11-2024,"Written Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
IRS Officer,Ministry of Science and Technology,M.Tech,23-39,5 years,Kolkata,44341-64718 INR,21-11-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Senior Level > Department Head
Mechanic,Ministry of Education,PhD,29-38,0 years,Ranchi,43811-72004 INR,20-09-2024,"Physical Test, Written Exam",Internship > Junior Position > Senior Position > Management
Lecturer,Ministry of Finance,B.Com,21-40,4 years,Ahmedabad,41574-79909 INR,28-09-2024,"Physical Test, Written Exam",Assistant Professor > Associate Professor > Professor > Head of Department
Audit Officer,Ministry of Agriculture,M.Sc,21-39,3 years,Kolkata,34324-68188 INR,18-09-2024,"Skill Test, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Assistant Professor,Ministry of Agriculture,M.Sc,23-40,5 years,Lucknow,38016-81104 INR,01-10-2024,"Skill Test, Interview",Trainee > Assistant Officer > Officer > Senior Officer
UPSC NDA,Ministry of Defense,Diploma,23-38,3 years,Guwahati,32291-67404 INR,21-10-2024,"Physical Test, Written Exam",Entry Level > Team Lead > Deputy Director > Director
Assistant Professor,Ministry of Environment,Diploma,22-35,2 years,Jaipur,48060-62601 INR,22-09-2024,"Written Exam, Document Verification",Entry Level > Mid Level > Regional Head > Zonal Head
Medical Officer,Ministry of Defense,Diploma,24-38,1 years,Hyderabad,31378-77301 INR,30-09-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
Scientist B,Ministry of Railways,M.Tech,30-36,5 years,Kolkata,33189-77414 INR,23-11-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
Forest Officer,Ministry of Education,M.Sc,24-39,4 years,Pune,37650-76090 INR,03-11-2024,"Physical Test, Written Exam",Internship > Junior Position > Senior Position > Management
Postman,Ministry of Rural Development,12th Pass,22-35,5 years,Patna,30781-60833 INR,27-10-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Postman,Ministry of Agriculture,PhD,26-39,5 years,Guwahati,49447-78753 INR,14-09-2024,"Physical Test, Written Exam",Internship > Junior Position > Senior Position > Management
Assistant Commandant,Ministry of Agriculture,Bachelor's Degree,30-40,4 years,Ahmedabad,39011-80786 INR,08-09-2024,"Skill Test, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
UPSC NDA,Ministry of Defense,MBBS,30-36,4 years,Mumbai,38262-88799 INR,17-11-2024,"Skill Test, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Forest Officer,Ministry of Health,12th Pass,26-35,2 years,Mumbai,30968-68424 INR,15-09-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
IRS Officer,Ministry of Agriculture,B.Com,21-37,0 years,Bangalore,33716-87457 INR,01-10-2024,"Written Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Public Prosecutor,Ministry of Environment,B.Sc,24-37,3 years,Pune,36623-69384 INR,08-09-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
Pharmacist,Ministry of Environment,Diploma,28-39,3 years,New Delhi,39601-81171 INR,13-10-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Senior Level > Department Head
Senior Resident,Ministry of Science and Technology,M.Sc,21-35,2 years,Bhopal,49952-66644 INR,29-09-2024,"Physical Test, Written Exam",Probation > Confirmation > Promotion > Senior Position
Lab Assistant,Ministry of Rural Development,10th Pass,27-40,3 years,Ahmedabad,38803-68457 INR,05-10-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
Assistant Professor,Ministry of Railways,MBBS,27-38,0 years,Chennai,35765-89562 INR,09-09-2024,"Written Exam, Document Verification",Entry Level > Mid Level > Regional Head > Zonal Head
Forest Officer,Ministry of Science and Technology,B.Tech,27-36,4 years,Pune,37342-71893 INR,17-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Fireman,Ministry of Finance,Bachelor's Degree,29-36,2 years,Pune,31011-67916 INR,19-10-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
Pharmacist,Ministry of Agriculture,Bachelor's Degree,22-40,5 years,Bhopal,41741-75256 INR,08-09-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Postman,Ministry of Rural Development,12th Pass,30-39,5 years,Hyderabad,46031-66804 INR,16-11-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Accountant,Ministry of Science and Technology,10th Pass,26-35,3 years,Chennai,39076-79458 INR,18-11-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Teacher,Ministry of Finance,Diploma,23-35,4 years,Patna,30552-87990 INR,26-10-2024,"Physical Test, Written Exam",Probation > Confirmation > Promotion > Senior Position
Lab Assistant,Ministry of Education,PhD,26-36,5 years,Hyderabad,38620-78777 INR,23-10-2024,"Skill Test, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Lab Assistant,Ministry of Health,PhD,28-36,1 years,Jaipur,42178-79839 INR,22-09-2024,"Skill Test, Interview",Internship > Junior Position > Senior Position > Management
Driver,Ministry of Railways,12th Pass,29-40,5 years,Guwahati,44218-62065 INR,11-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Village Development Officer,Ministry of Defense,10th Pass,26-38,0 years,Ranchi,43387-69719 INR,16-11-2024,"Physical Test, Medical Test",Trainee > Assistant Officer > Officer > Senior Officer
Accountant,Ministry of Science and Technology,M.Sc,22-40,4 years,Kolkata,30043-61446 INR,10-10-2024,"Written Exam, Document Verification",Trainee > Assistant Officer > Officer > Senior Officer
UPSC NDA,Ministry of Environment,MBBS,22-39,2 years,Bhopal,38394-72218 INR,15-09-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
IFS Officer,Ministry of Education,M.Sc,29-40,1 years,Kolkata,40686-64572 INR,14-09-2024,"Physical Test, Written Exam",Assistant Professor > Associate Professor > Professor > Head of Department
Fireman,Ministry of Railways,Diploma,30-38,0 years,Kolkata,44315-79835 INR,05-11-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
IFS Officer,Ministry of Finance,B.Sc,25-35,3 years,Ahmedabad,31354-81716 INR,18-11-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
Assistant Commandant,Ministry of Finance,10th Pass,29-36,3 years,Hyderabad,32434-82049 INR,08-11-2024,"Skill Test, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Clerk,Ministry of Finance,Diploma,21-35,0 years,Ahmedabad,45799-75181 INR,21-10-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
Assistant Engineer,Ministry of Education,M.Sc,26-37,1 years,Jaipur,38281-61620 INR,10-09-2024,"Physical Test, Written Exam",Assistant Professor > Associate Professor > Professor > Head of Department
Assistant Engineer,Ministry of Environment,PhD,27-37,1 years,Mumbai,32669-74525 INR,19-10-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Senior Level > Department Head
IAS Officer,Ministry of Health,B.Com,22-37,5 years,Pune,48541-78616 INR,29-10-2024,"Physical Test, Medical Test",Internship > Junior Position > Senior Position > Management
Railway Engineer,Ministry of Science and Technology,B.Tech,22-38,1 years,Bhopal,43673-79537 INR,19-11-2024,"Physical Test, Written Exam",Probation > Confirmation > Promotion > Senior Position
Defense Officer,Ministry of Environment,Bachelor's Degree,28-39,5 years,Bhopal,37768-81540 INR,14-11-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
Lecturer,Ministry of Finance,PhD,21-36,3 years,Chandigarh,40477-81873 INR,08-10-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
IRS Officer,Ministry of Agriculture,B.Com,27-40,3 years,Bangalore,40743-89439 INR,03-10-2024,"Written Exam, Document Verification",Entry Level > Mid Level > Senior Level > Department Head
Assistant Professor,Ministry of Rural Development,B.Com,30-38,0 years,Patna,47230-88164 INR,06-10-2024,"Physical Test, Medical Test",Entry Level > Team Lead > Deputy Director > Director
Junior Translator,Ministry of Education,10th Pass,29-37,4 years,Lucknow,43660-72334 INR,09-11-2024,"Physical Test, Medical Test",Trainee > Assistant Officer > Officer > Senior Officer
Railway Engineer,Ministry of Defense,MBBS,25-37,0 years,Mumbai,36298-83391 INR,01-10-2024,"Physical Test, Written Exam",Trainee > Assistant Officer > Officer > Senior Officer
